playid,team,host,m0_cnt,w0,d0,l0,m0_hit,m0_mis,m1_cnt,w1,d1,l1,m1_hit,m1_mis,m_dval,m_num,m_r,m_p
25008,奥格斯堡,0,10,2,4,4,13,15,16.0,4.0,4.0,8.0,13.0,22.0,-9.0,16.0,12.0,25%
25008,不来梅,1,10,5,1,4,17,16,16.0,4.0,1.0,11.0,20.0,33.0,-13.0,13.0,16.0,25%
25008,海登海姆,0,10,1,1,8,10,27,16.0,7.0,4.0,5.0,28.0,29.0,-1.0,25.0,10.0,44%
25008,国际米兰,1,10,8,0,2,22,5,18.0,7.0,8.0,3.0,27.0,23.0,4.0,29.0,8.0,39%
25008,博洛尼亚,0,10,4,3,3,17,12,18.0,13.0,4.0,1.0,46.0,15.0,31.0,43.0,2.0,73%
25008,布雷斯特,1,10,5,0,5,15,17,,,,,,,,,,
25008,南特,0,10,2,3,5,14,18,,,,,,,,,,
25008,图卢兹,1,10,6,1,3,12,8,,,,,,,,,,
25008,拉瓦勒,0,10,4,6,0,14,6,,,,,,,,,,
25007,布伦特,1,10,3,1,6,17,17,20.0,10.0,4.0,6.0,36.0,27.0,9.0,34.0,6.0,50%
25007,曼城,0,10,4,2,4,22,12,20.0,8.0,3.0,9.0,38.0,35.0,3.0,27.0,11.0,40%
25007,切尔西,1,10,6,2,2,26,12,20.0,9.0,6.0,5.0,30.0,23.0,7.0,33.0,7.0,45%
25007,伯恩茅斯,0,10,6,3,1,20,9,20.0,10.0,6.0,4.0,39.0,24.0,15.0,36.0,4.0,50%
25007,西汉姆联,1,10,3,2,5,12,22,20.0,7.0,9.0,4.0,30.0,27.0,3.0,30.0,9.0,35%
25007,富勒姆,0,10,3,6,1,18,15,20.0,6.0,5.0,9.0,24.0,39.0,-15.0,23.0,14.0,30%
25007,诺丁汉,1,10,8,0,2,16,9,19.0,14.0,4.0,1.0,47.0,19.0,28.0,46.0,1.0,74%
25007,利物浦,0,10,6,3,1,28,13,20.0,12.0,4.0,4.0,29.0,19.0,10.0,40.0,3.0,60%
25007,加的夫,1,10,2,4,4,11,16,25.0,11.0,4.0,10.0,35.0,36.0,-1.0,37.0,9.0,44%
25007,沃特福德,0,10,3,2,5,11,16,25.0,5.0,8.0,12.0,25.0,40.0,-15.0,23.0,23.0,20%
25007,普利茅斯,1,10,1,3,6,8,25,25.0,7.0,7.0,11.0,28.0,40.0,-12.0,28.0,17.0,28%
25007,牛津联,0,10,3,2,5,10,19,25.0,4.0,8.0,13.0,24.0,53.0,-29.0,20.0,24.0,16%
25007,基尔,1,10,3,0,7,13,22,16.0,7.0,4.0,5.0,30.0,25.0,5.0,25.0,8.0,44%
25007,多特蒙德,0,10,4,3,3,19,13,16.0,2.0,2.0,12.0,21.0,41.0,-20.0,8.0,17.0,13%
25007,勒沃库森,1,10,10,0,0,28,7,16.0,8.0,4.0,4.0,30.0,20.0,10.0,28.0,5.0,50%
