issueid,playid,leage,host,guest,"('old_ods_w', 'min')","('old_ods_w', 'mean')","('old_ods_w', 'max')","('old_ods_d', 'min')","('old_ods_d', 'mean')","('old_ods_d', 'max')","('old_ods_d', 'min')","('old_ods_d', 'mean')","('old_ods_d', 'max')","('new_ods_w', 'min')","('new_ods_w', 'mean')","('new_ods_w', 'max')","('new_ods_d', 'min')","('new_ods_d', 'mean')","('new_ods_d', 'max')","('new_ods_l', 'min')","('new_ods_l', 'mean')","('new_ods_l', 'max')","('w_p', 'min')","('w_p', 'mean')","('w_p', 'max')","('d_p', 'min')","('d_p', 'mean')","('d_p', 'max')","('l_p', 'min')","('l_p', 'mean')","('l_p', 'max')","('kl_w', 'min')","('kl_w', 'mean')","('kl_w', 'max')","('kl_d', 'min')","('kl_d', 'mean')","('kl_d', 'max')","('kl_l', 'min')","('kl_l', 'mean')","('kl_l', 'max')","('ex_r', 'min')","('ex_r', 'mean')","('ex_r', 'max')","('lsd', 'klw')","('lsd', 'kld')","('lsd', 'kll')","('fc', 'klw')","('fc', 'kld')","('fc', 'kll')"
24173,3438145,英　冠,布莱克本,斯托克城,1.78,2.01,2.10,3.10,3.44,3.75,2.92,3.48,3.80,1.80,1.99,2.08,3.10,3.46,3.75,2.92,3.53,3.80,43.63,46.74,50.37,24.51,26.89,28.54,24.65,26.37,29.38,0.84,0.93,0.97,0.83,0.93,1.01,0.77,0.93,1,0.84,0.93,0.96,0.51,1.01,1.42,0.26,1.03,2.02
24173,3438146,英　冠,考文垂,德比郡,1.65,1.83,1.95,3.10,3.52,3.90,3.30,4.08,4.85,1.56,1.75,1.81,3.28,3.63,3.90,3.85,4.42,4.90,50.76,53.15,56.56,24.08,25.71,26.96,19.36,21.13,23.38,0.83,0.93,0.96,0.84,0.93,1,0.81,0.93,1.04,0.85,0.93,0.98,0.42,1.24,2.02,0.18,1.54,4.09
24173,3438138,英　冠,米尔沃尔,利兹联,3.30,3.84,4.33,3.05,3.52,3.90,1.70,1.88,2.00,3.45,3.86,4.33,3.12,3.52,3.90,1.70,1.89,1.98,21.38,24.17,25.49,24.21,26.50,29.11,47.06,49.33,52.90,0.83,0.93,1.05,0.83,0.93,1.03,0.84,0.93,0.98,0.85,0.93,0.98,1.68,1.08,0.48,2.81,1.18,0.23
24173,3438148,英　冠,卢顿,加的夫城,1.62,1.83,1.97,3.15,3.55,3.81,2.18,4.04,4.50,1.70,1.85,1.97,3.15,3.59,3.85,3.59,3.93,4.35,47.08,50.30,53.85,24.48,25.97,27.62,21.67,23.73,25.60,0.86,0.93,0.99,0.82,0.93,1,0.85,0.93,1.03,0.86,0.93,0.98,0.46,1.44,1.57,0.21,2.08,2.47
24173,3438147,英　冠,普雷斯顿,桑德兰,2.80,3.13,3.50,2.90,3.26,3.60,1.95,2.23,2.41,2.82,3.08,3.50,2.85,3.17,3.45,2.10,2.31,2.43,26.71,30.30,31.59,27.28,29.41,31.67,39.05,40.29,44.52,0.85,0.93,1.06,0.84,0.93,1.01,0.85,0.93,0.98,0.85,0.93,0.96,1.21,0.88,0.71,1.47,0.78,0.51
24174,3489210,欧罗巴,博德闪耀,卡拉巴赫,1.46,1.56,1.70,3.94,4.37,4.90,4.33,5.08,5.91,1.45,1.57,1.65,3.94,4.43,4.75,4.33,4.91,5.80,57.83,59.70,62.34,19.60,21.20,22.70,16.66,19.10,20.73,0.87,0.94,0.99,0.84,0.94,1.01,0.83,0.94,1.11,0.88,0.94,0.99,0.28,1.59,1.98,0.08,2.53,3.93
24174,3489164,欧罗巴,埃尔夫斯堡,布拉加,2.95,3.28,3.88,2.84,3.57,4.10,1.88,2.07,2.24,3.00,3.33,3.70,3.19,3.61,4.00,1.87,2.05,2.12,26.07,28.21,29.65,24.29,25.98,27.91,42.60,45.81,48.06,0.85,0.94,1.04,0.83,0.94,1.04,0.86,0.94,0.97,0.88,0.94,0.98,1.35,1.41,0.36,1.81,1.98,0.13
24174,3489092,欧罗巴,法兰克福,布拉格斯拉维亚,1.60,1.77,2.06,2.86,3.83,4.30,3.20,4.11,4.66,1.59,1.75,1.89,3.60,3.94,4.35,3.60,4.19,4.75,50.61,53.74,56.73,22.37,23.83,25.17,20.30,22.43,24.97,0.85,0.94,1.02,0.86,0.94,1.04,0.81,0.94,1.07,0.89,0.94,0.98,0.47,1.36,2.02,0.22,1.85,4.09
24174,3489124,欧罗巴,加拉塔萨雷,热刺,2.25,2.54,2.74,2.56,3.67,4.40,2.20,2.49,2.70,2.12,2.40,2.65,3.40,3.82,4.10,2.36,2.58,2.70,35.81,39.13,42.43,23.36,24.57,26.53,34.20,36.30,38.57,0.83,0.94,1.04,0.84,0.94,1.01,0.86,0.94,0.98,0.86,0.94,0.99,0.75,1.23,0.68,0.57,1.5,0.46
24174,3489194,欧罗巴,卢多戈雷茨,毕尔巴鄂,2.96,3.87,4.73,3.12,3.71,4.31,1.64,1.86,2.22,3.63,3.92,4.30,3.10,3.56,3.95,1.73,1.89,2.00,21.99,23.92,25.55,24.54,26.35,28.60,47.22,49.73,52.01,0.87,0.94,1.03,0.82,0.94,1.04,0.86,0.94,0.99,0.88,0.94,0.99,1.63,1.54,0.4,2.67,2.36,0.16
24174,3489215,欧罗巴,尼斯,特温特,1.69,1.91,2.07,3.11,3.56,3.80,3.25,3.82,4.60,1.81,2.01,2.10,3.11,3.47,3.75,3.25,3.56,3.87,44.47,46.60,50.19,25.38,27.06,28.69,24.22,26.34,27.75,0.84,0.94,0.98,0.84,0.94,1.01,0.86,0.94,1.02,0.88,0.94,0.98,0.49,1.19,1.21,0.24,1.41,1.46
24174,3489078,欧罗巴,奥林匹亚科斯,格拉斯哥流浪者,1.65,1.81,1.94,3.21,3.61,4.10,3.40,4.22,4.75,1.70,1.86,1.94,3.21,3.61,4.03,3.40,4.00,4.40,45.98,50.54,52.99,24.43,25.99,27.79,21.53,23.47,26.37,0.86,0.94,0.98,0.83,0.94,1.05,0.8,0.94,1.03,0.88,0.94,0.98,0.41,1.41,1.95,0.17,1.98,3.81
24174,3489203,欧罗巴,布加勒斯特星队,中日德兰,2.50,2.77,3.05,2.95,3.29,3.70,2.18,2.48,2.72,2.62,2.89,3.10,3.10,3.30,3.58,2.15,2.40,2.50,30.14,32.52,34.00,26.93,28.44,29.76,37.27,39.04,41.96,0.85,0.94,1.01,0.88,0.94,1.02,0.84,0.94,0.98,0.87,0.94,0.99,0.82,0.94,0.6,0.66,0.88,0.36
24174,3489089,欧罗巴,圣吉联合,罗马,2.60,2.83,3.25,3.05,3.34,3.64,2.08,2.42,2.62,2.50,2.72,2.95,3.06,3.32,3.52,2.21,2.52,2.67,32.81,34.43,35.73,26.05,28.28,30.12,35.92,37.29,40.67,0.86,0.94,1.02,0.87,0.94,1,0.82,0.94,1,0.88,0.94,0.99,0.79,1.04,0.68,0.63,1.09,0.47
24174,3489150,欧罗巴,阿尔克马尔,费内巴切,2.42,2.68,2.93,3.05,3.39,3.73,2.32,2.50,2.68,2.57,2.78,2.95,3.10,3.32,3.65,2.21,2.47,2.65,32.39,33.75,36.87,26.26,28.29,29.22,35.83,37.96,40.74,0.87,0.94,1,0.88,0.94,1.03,0.84,0.94,1.01,0.89,0.94,0.99,0.76,0.89,0.59,0.58,0.8,0.35
24174,3489183,欧罗巴,霍芬海姆,里昂,2.06,2.42,2.62,3.15,3.61,3.95,2.35,2.64,2.85,2.35,2.55,2.70,3.25,3.69,4.02,2.19,2.48,2.76,34.60,36.76,39.93,23.83,25.42,28.41,34.00,37.82,41.08,0.86,0.94,0.99,0.83,0.94,1.02,0.83,0.94,1.04,0.89,0.94,0.99,0.73,1.25,0.82,0.53,1.57,0.67
24174,3489100,欧罗巴,拉齐奥,波尔图,1.97,2.17,2.31,3.15,3.42,3.90,2.95,3.17,3.37,1.97,2.18,2.28,3.15,3.43,3.90,2.95,3.16,3.30,41.53,42.96,45.56,24.78,27.38,28.63,28.05,29.66,30.73,0.85,0.94,0.98,0.86,0.94,1.07,0.87,0.94,0.98,0.87,0.94,0.99,0.51,1.5,0.73,0.26,2.26,0.54
24174,3489114,欧罗巴,曼联,塞萨洛尼基,1.12,1.23,1.31,5.10,6.16,7.50,7.60,10.98,15.00,1.18,1.25,1.30,5.20,6.08,7.00,7.75,9.77,12.00,71.84,74.89,77.30,13.70,15.46,16.95,7.94,9.65,11.31,0.88,0.94,0.97,0.8,0.94,1.08,0.75,0.94,1.16,0.88,0.94,0.99,0.23,3.54,7.63,0.05,12.55,58.27
24174,3489167,欧罗巴,比尔森,皇家社会,4.05,4.66,5.30,3.30,3.69,4.25,1.54,1.72,1.86,4.05,4.52,5.00,3.30,3.57,3.79,1.63,1.77,1.85,19.06,20.78,22.43,24.95,26.28,27.25,51.12,52.93,55.10,0.84,0.94,1.04,0.87,0.94,1,0.86,0.94,0.98,0.88,0.94,0.98,1.91,0.84,0.34,3.65,0.71,0.11
