index,time,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14
24048,2024-03-31,1,3,1,3,3,1,0,3,1,0,3,0,1,3
24047,2024-03-30,3,1,0,0,3,0,1,3,0,1,3,0,3,0
24046,2024-03-27,3,0,0,1,0,1,3,0,3,3,1,1,1,3
24045,2024-03-24,0,3,1,3,0,0,0,1,0,1,0,1,1,3
24044,2024-03-22,1,0,1,3,3,3,3,3,3,3,3,3,3,0
24043,2024-03-22,1,1,0,3,0,*,3,1,3,0,3,0,3,3
24042,2024-03-17,1,3,3,3,3,0,0,3,1,0,0,3,0,3
24041,2024-03-16,0,0,0,0,3,0,3,3,3,3,0,3,1,3
24040,2024-03-15,3,3,3,0,3,3,0,3,3,3,3,3,1,3
24039,2024-03-13,3,3,0,3,3,3,0,3,3,3,0,1,0,1
24038,2024-03-11,0,3,1,1,0,3,3,3,1,1,3,0,3,0
24037,2024-03-10,3,1,1,3,3,1,3,3,3,0,3,3,0,0
24036,2024-03-09,0,3,3,0,1,3,0,0,1,3,0,3,0,3
24035,2024-03-08,0,3,1,1,1,0,3,3,3,3,1,1,3,1
24034,2024-03-06,3,1,3,0,3,0,1,0,3,3,3,3,3,1
24033,2024-03-04,3,0,3,1,0,0,3,3,3,1,1,0,1,3
24032,2024-03-03,3,3,3,0,0,1,0,0,0,0,1,0,0,1
24031,2024-03-03,3,1,1,3,0,3,1,0,*,1,1,3,3,0
24030,2024-03-01,3,3,0,3,0,3,3,0,3,*,3,0,0,3
24029,2024-02-28,3,3,3,3,1,1,0,3,3,3,1,1,1,0
24028,2024-02-26,1,0,3,1,0,1,3,1,3,3,0,1,1,3
24027,2024-02-25,0,1,3,3,0,3,3,1,1,1,3,1,3,1
24026,2024-02-24,3,0,1,3,0,0,3,0,0,3,0,1,1,3
24025,2024-02-23,1,1,3,0,1,1,3,3,1,0,0,0,0,0
24024,2024-02-22,1,0,1,3,3,1,3,1,3,3,0,3,0,1
24023,2024-02-19,0,0,1,3,1,1,0,3,1,0,1,0,1,3
24022,2024-02-05,1,3,0,3,1,3,1,3,3,3,1,0,1,1
